HEI Name,UII,Region,HEI Type,Province,City/Municipality,Status
The Adelphi College,01002,1,1,Pangasinan,Lingayen,Existing
Malasiqui Agno Valley College,01003,1,1,Pangasinan,Malasiqui,Existing
Asbury College,01005,1,1,Pangasinan,Anda,Existing
Asiacareer College Foundation,01006,1,1,Pangasinan,Dagupan City,Existing
CICOSAT Colleges,01012,1,1,La Union,San Fernando City,Existing
Universidad de Dagupan,01014,1,1,Pangasinan,Dagupan City,Existing
Dagupan Colleges Foundation,01016,1,1,Pangasinan,Dagupan City,Existing
Data Center College of the Philippines of Laoag City,01017,1,1,Ilocos Norte,Laoag City,Existing
Divine Word College of Laoag,01018,1,1,Ilocos Norte,Laoag City,Existing
Divine Word College of Urdaneta,01019,1,1,Pangasinan,Urdaneta City,Existing
Divine Word College of Vigan,01020,1,1,Ilocos Sur,Vigan City,Existing
Don Mariano Marcos Memorial State University-South La Union,01021,1,2b,La Union,Agoo,Existing
Don Mariano Marcos Memorial State University-Rosario,01022,1,2b,La Union,Rosario,Merged
Don Mariano Marcos Memorial State University-Mid La Union,01023,1,2b,La Union,San Fernando City,Existing
Don Mariano Marcos Memorial State University-Open University,01023a,1,2b,La Union,San Fernando City,Existing
Don Mariano Marcos Memorial State University-Sto. Tomas,01024,1,2b,La Union,Sto. Tomas,Merged
Don Mariano Marcos Memorial State University-North La Union,01026,1,2a,La Union,Bacnotan,Existing
Dr. Francisco Q. Duque Medical Foundation,01027,1,1,Pangasinan,Dagupan City,Merged
The Great Plebeian College,01029,1,1,Pangasinan,Alaminos City,Existing
Ilocos Sur Polytechnic State College-Sta. Maria,01031,1,2b,Ilocos Sur,Sta. Maria,Existing
Ilocos Sur Community College,01032,1,3,Ilocos Sur,Bantay,Existing
Lorma Colleges,01034,1,1,La Union,San Fernando City,Existing
Luna Colleges,01035,1,1,Pangasinan,Tayug,Existing
University of Luzon,01036,1,1,Pangasinan,Dagupan City,Existing
Lyceum Northern Luzon,01037,1,1,Pangasinan,Urdaneta City,Existing
Mariano Marcos State University,01040,1,2a,Ilocos Norte,Batac City,Existing
Mary Help of Christians College Seminary,01041,1,1,Pangasinan,Dagupan City,Existing
Mariano Marcos State University-College of Aquatic Sciences and Applied Technology,01043,1,2b,Ilocos Norte,Currimao,Existing
Mariano Marcos State University-College of Agriculture and Forestry-Dingras,01044,1,2b,Ilocos Norte,Dingras,Existing
Mariano Marcos State University-College of Teacher Education-Laoag City,01045,1,2b,Ilocos Norte,Laoag City,Existing
Mariano Marcos State University-College of Industrial Technology-Laoag City,01046,1,2b,Ilocos Norte,Laoag City,Existing
Northern Christian College,01048,1,1,Ilocos Norte,Laoag City,Existing
Northern Luzon Adventist College,01050,1,1,Pangasinan,Sison,Existing
"Northern Philippines College for Maritime, Science and Technology",01051,1,1,La Union,San Fernando City,Existing
Northwestern University,01052,1,1,Ilocos Norte,Laoag City,Existing
Osias Educational Foundation,01053,1,1,La Union,Balaoan,Existing
Palaris College,01054,1,1,Pangasinan,San Carlos City,Existing
Panpacific University,01055,1,1,Pangasinan,Urdaneta City,Existing
Pangasinan Merchant Marine Academy,01057,1,1,Pangasinan,Dagupan City,Existing
Pangasinan State University,01058,1,2a,Pangasinan,Lingayen,Existing
Pangasinan State University-Open University,01058a,1,2b,Pangasinan,Lingayen,Existing
Pangasinan State University-Alaminos City,01058b,1,2b,Pangasinan,Alaminos City,Existing
Perpetual Help College of Pangasinan,01059,1,1,Pangasinan,Malasiqui,Existing
Polytechnic College of La union,01060,1,1,La Union,Agoo,Existing
Philippine College of Science and Technology,01061,1,1,Pangasinan,Calasiao City,Existing
PIMSAT Colleges-Dagupan,01062,1,1,Pangasinan,Dagupan City,Existing
Pangasinan State University-Asingan,01064,1,2b,Pangasinan,Asingan,Existing
Pangasinan State University-Bayambang,01065,1,2b,Pangasinan,Bayambang,Existing
Pangasinan State University-Binmaley,01066,1,2b,Pangasinan,Binmaley,Existing
Pangasinan State University-Infanta,01067,1,2b,Pangasinan,Infanta,Existing
Pangasinan State University-San Carlos City,01068,1,2b,Pangasinan,San Carlos City,Existing
Pangasinan State University-Sta. Maria,01069,1,2b,Pangasinan,Sta. Maria,Existing
Pangasinan State University-Urdaneta City,01070,1,2b,Pangasinan,Urdaneta City,Existing
Saint Columban's College,01073,1,1,Pangasinan,Lingayen,Existing
Saint Louis College-City of San Fernando,01074,1,1,La Union,San Fernando City,Existing
"Saint Mary's College Sta. Maria, Ilocos Sur",01075,1,1,Ilocos Sur,Sta. Maria,Existing
Saint Paul College of Ilocos Sur,01076,1,1,Ilocos Sur,Bantay,Existing
San Carlos College,01077,1,1,Pangasinan,San Carlos City,Existing
Sea and Sky College,01078,1,1,La Union,San Fernando City,Existing
Union Christian College,01079,1,1,La Union,San Fernando City,Existing
University of Northern Philippines,01080,1,2a,Ilocos Sur,Vigan City,Existing
University of Pangasinan,01081,1,1,Pangasinan,Dagupan City,Existing
Ilocos Sur Polytechnic State College,01082,1,2a,Ilocos Sur,Candon City,Existing
NJ Valdez Colleges Foundation,01083,1,1,Pangasinan,Villasis,Existing
Urdaneta City University,01084,1,3,Pangasinan,Urdaneta City,Existing
Virgen Milagrosa University Foundation,01086,1,1,Pangasinan,San Carlos City,Existing
Ilocos Sur Polytechnic State College-College of Engineering and Technology-Santiago,01088,1,2b,Ilocos Sur,Santiago,Existing
Ilocos Sur Polytechnic State College-College of Arts and Sciences-Tagudin,01089,1,2b,Ilocos Sur,Tagudin,Existing
Ilocos Sur Polytechnic State College-College of Fisheries and Marine Sciences-Narvacan,01090,1,2b,Ilocos Sur,Narvacan,Existing
Ilocos Sur Polytechnic State College-Cervantes,01091,1,2b,Ilocos Sur,Cervantes,Existing
Ilocos Sur Polytechnic State College-Candon,01094,1,2b,Ilocos Sur,Candon City,Existing
VMIE Institute of Medical Foundation,01095,1,1,Pangasinan,San Carlos City,Merged
Metro-Dagupan Colleges,01098,1,1,Pangasinan,Mangaldan,Existing
Pass College,01100,1,1,Pangasinan,Alaminos City,Existing
AMA Computer College-Pangasinan,01101,1,1,Pangasinan,Calasiao City,Existing
AMA Computer College-Laoag City,01102,1,1,Ilocos Norte,Laoag City,Existing
Lyceum Northwestern University,01103,1,1,Pangasinan,Dagupan City,Existing
STI College-Dagupan,01107,1,1,Pangasinan,Dagupan City,Existing
AMA Computer College-La Union,01108,1,1,La Union,San Fernando City,Existing
Golden West Colleges,01109,1,1,Pangasinan,Alaminos City,Existing
Lyceum Northwestern University-Urdaneta Campus,01110,1,1,Pangasinan,Urdaneta City,Existing
Data Center College of the Philippines-Vigan City,01111,1,1,Ilocos Sur,Vigan City,Existing
Colegio San Jose De Alaminos,01113,1,1,Pangasinan,Alaminos City,Existing
Colegio De San Juan De Letran-Manaoag,01114,1,1,Pangasinan,Manaoag,Existing
South Ilocandia College of Arts and Technology,01115,1,1,La Union,Aringay,Existing
La Union College of Science and Technology,01116,1,1,La Union,Bauang,Existing
Mystical Rose College of Science and Technology,01119,1,1,Pangasinan,Mangatarem,Existing
St. Therese College Foundation,01121,1,1,Pangasinan,San Carlos City,Existing
ABE International College of Business and Accountancy-Urdaneta City,01122,1,1,Pangasinan,Urdaneta City,Existing
Panpacific University North Philippines-Tayug,01127,1,1,Pangasinan,Tayug,Existing
Kingfisher School of Business & Finance,01128,1,1,Pangasinan,Dagupan City,Existing
NICOSAT Colleges,01129,1,1,Ilocos Sur,Candon City,Existing
St. Camillus College of Manaoag Foundation,01131,1,1,Pangasinan,Manaoag,Existing
International College for Excellence,01132,1,1,Pangasinan,Urdaneta City,Existing
Philippine College of Northwestern Luzon,01133,1,1,La Union,Agoo,Existing
Philippine Darakbang Theological College,01134,1,1,Pangasinan,Binalonan,Existing
Saint John Bosco College of Northern Luzon,01135,1,1,La Union,San Fernando City,Existing
University of Eastern Pangasinan,01136,1,3,Pangasinan,Binalonan,Existing
Rosales-Wesleyan Bible College,01137,1,1,Pangasinan,Rosales,Existing
La Union Christian Comprehensive College,01140,1,1,La Union,Rosario,Existing
Immaculate Conception School of Theology,01141,1,1,Ilocos Sur,Vigan City,Existing
WCC Aeronautical & Technological College,01143,1,1,Pangasinan,Binalonan,Existing
PIMSAT Colleges-San Carlos City,01144,1,1,Pangasinan,San Carlos City,Existing
Binalatongan Community College,01145,1,3,Pangasinan,San Carlos City,Existing
Mary Help of Christians Theology Seminary,01146,1,1,Pangasinan,San Fabian,Existing
STI College-Vigan,01147,1,1,Ilocos Sur,Vigan City,Existing
STI College-Laoag,01148,1,1,Ilocos Norte,Laoag City,Existing
Señor Tesoro College,01149,1,1,Pangasinan,Calasiao City,Existing
PHINMA-Upang College Urdaneta,01150,1,1,Pangasinan,Urdaneta City,Existing
Mary Cause of Our Joy College Seminary,01151,1,1,Ilocos Norte,Bacarra,Existing
St. Benedict College of Northern Luzon,01153,1,1,Ilocos Sur,Vigan City,Existing
Leading Edge International Aviation Academy,01154,1,1,La Union,San Fernando City,Existing
Kingsville Advanced School,01155,1,1,Pangasinan,Tayug,Existing
Bayambang Polytechnic College,01156,1,3,Pangasinan,Bayambang,Existing
Philippine Remnant College,01157,1,1,La Union,Caba,Existing
Sta. Catalina's College of Science and Technology,01158,1,1,Pangasinan,Umingan,Existing
Pangasinan Polytechnic College,01159,1,3,Pangasinan,Lingayen,Existing
Pangasinan State University -School Advance Studies,01160,1,2b,Pangasinan,Urdaneta City,Existing
World Citi Colleges-Binalonan,01161,1,1,Pangasinan,Binalonan,Existing
Metropolitan Institute of Arts and Science-Magsingal,01162,1,1,Ilocos Sur,Magsingal,Existing
Aldersgate College,02001,2,1,Nueva Vizcaya,Solano,Existing
Isabela State University-Angadanan Campus,02002,2,2b,Isabela,Angadanan,Existing
Batanes State College,02003,2,2a,Batanes,Basco,Existing
University of Cagayan Valley,02004,2,1,Cagayan,Tuguegarao City,Existing
Cagayan State University-Tuguegarao (Carig),02005,2,2b,Cagayan,Tuguegarao City,Existing
Isabela State University-Cauayan Campus,02006,2,2b,Isabela,Cauayan City,Existing
Cagayan State University-Aparri,02007,2,2b,Cagayan,Aparri,Existing
Cagayan State University-Gonzaga,02009,2,2b,Cagayan,Gonzaga,Existing
Cagayan State University-Lallo,02010,2,2b,Cagayan,Lal-Lo,Existing
Cagayan State University-Lasam,02011,2,2b,Cagayan,Lasam,Existing
Cagayan State University-Piat,02012,2,2b,Cagayan,Piat,Existing
Cagayan State University-Sanchez Mira,02013,2,2b,Cagayan,Sanchez Mira,Existing
Isabela State University-San Mariano Campus,02015,2,2b,Isabela,San Mariano,Existing
Eveland Christian College,02016,2,1,Isabela,San Mateo,Existing
Isabela Colleges,02018,2,1,Isabela,Cauayan City,Existing
Isabela State University,02020,2,2a,Isabela,Echague,Existing
Isabela State University-Cabagan,02021,2,2b,Isabela,Cabagan,Existing
Isabela State University-Ilagan Campus,02022,2,2b,Isabela,Ilagan City,Existing
Isabela State University-Jones Campus,02023,2,2b,Isabela,Jones,Existing
Isabela State University-Roxas Campus,02024,2,2b,Isabela,Roxas,Existing
Isabela State University-San Mateo Campus,02025,2,2b,Isabela,San Mateo,Existing
University of La Salette,02026,2,1,Isabela,Santiago City,Existing
Lyceum of Aparri,02027,2,1,Cagayan,Aparri,Existing
Lyceum of Tuao,02028,2,1,Cagayan,Tuao,Existing
Medical Colleges of Northern Philippines,02030,2,1,Cagayan,Peñablanca,Existing
Northeastern College,02032,2,1,Isabela,Santiago City,Existing
Northern Cagayan Colleges Foundation,02033,2,1,Cagayan,Ballesteros,Existing
Nueva Vizcaya State University,02034,2,2a,Nueva Vizcaya,Bayombong,Existing
Nueva Vizcaya State University-Bambang,02035,2,2b,Nueva Vizcaya,Bambang,Existing
Our Lady of the Pillar College-Cauayan,02036,2,1,Isabela,Cauayan City,Existing
La Patria College,02037,2,1,Isabela,Santiago City,Existing
PLT College,02039,2,1,Nueva Vizcaya,Bayombong,Existing
Philippine Normal University-North Luzon Campus,02040,2,2b,Isabela,Alicia,Existing
Quezon Colleges of the North,02041,2,1,Cagayan,Ballesteros,Existing
Quirino State University - Cabarroguis,02042,2,2b,Quirino,Cabarroguis,Existing
Quirino State University,02043,2,2a,Quirino,Diffun,Existing
Quirino State University - Maddela,02043a,2,2b,Quirino,Maddela,Existing
Saint Anthony's College,02045,2,1,Cagayan,Sta. Ana,Existing
Saint Dominic College of Batanes,02046,2,1,Batanes,Basco,Existing
St. Ferdinand College-Ilagan,02047,2,1,Isabela,Ilagan City,Existing
Saint Joseph's College of Baggao,02048,2,1,Cagayan,Baggao,Existing
University of Saint Louis-Tuguegarao,02049,2,1,Cagayan,Tuguegarao City,Existing
Saint Mary's University of Bayombong,02050,2,1,Nueva Vizcaya,Bayombong,Existing
Saint Paul University Philippines,02051,2,1,Cagayan,Tuguegarao City,Existing
Mallig Plains Colleges,02053,2,1,Isabela,Mallig,Existing
FL Vargas College-Tuguegarao,02055,2,1,Cagayan,Tuguegarao City,Existing
Philippine Law Enforcement College,02057,2,1,Cagayan,Tuguegarao City,Existing
International School of Asia and the Pacific,02061,2,1,Cagayan,Peñablanca,Existing
Isabela College of Arts and Technology,02062,2,1,Isabela,Cauayan City,Existing
AMA Computer College-Santiago City,02064,2,1,Isabela,Santiago City,Existing
Cagayan Valley Computer and Information Technology College,02065,2,1,Isabela,Santiago City,Existing
John Wesley College,02066,2,1,Cagayan,Tuguegarao City,Existing
AMA Computer College-Tuguegarao City,02068,2,1,Cagayan,Tuguegarao City,Existing
SISTECH College of Santiago City,02069,2,1,Isabela,Santiago City,Existing
Santiago City Colleges,02070,2,1,Isabela,Santiago City,Existing
Saint Ferdinand College-Cabagan Campus,02071,2,1,Isabela,Cabagan,Existing
F.L. Vargas College-Abulug Campus,02074,2,1,Cagayan,Abulug,Existing
Metropolitan College of Science and Technology,02076,2,1,Isabela,Santiago City,Existing
University of Perpetual Help System,02082,2,1,Isabela,Cauayan City,Existing
King's College of the Philippines-Bambang,02083,2,1,Nueva Vizcaya,Bambang,Existing
Global Academy of Technology and Entrepreneurship,02084,2,1,Isabela,Santiago City,Existing
HGBaquiran College,02085,2,1,Isabela,Tumauini,Existing
Infant Jesus Montessori School (College Department),02086,2,1,Isabela,Santiago City,Existing
Maila Rosario Colleges,02087,2,1,Cagayan,Tuguegarao City,Existing
Our Lady of the Pillar College-Cauayan San Manuel Branch,02088,2,1,Isabela,San Manuel,Existing
Northeast Luzon Adventist College,02089,2,1,Isabela,Alicia,Existing
Cagayan State University,02090,2,2a,Cagayan,Tuguegarao City,Existing
Isabela State University-Palanan Campus,02091,2,2b,Isabela,Palanan,Existing
La Salette of Roxas College,02092,2,1,Isabela,Roxas,Existing
STI College-Cauayan,02093,2,1,Isabela,Cauayan City,Existing
Cagayan State University-Lara Campus,02094,2,2b,Cagayan,Solano,Existing
Saint Louis College of Solano,02095,2,1,Nueva Vizcaya,Solano,Existing
St. John De Evagelist College Foundation,02096,2,1,Isabela,Quirino,Existing
Angeles University Foundation,03001,3,1,Pampanga,Angeles City,Existing
Sto. Rosario Sapang Palay College,03003,3,1,Bulacan,San Jose del Monte City,Existing
Baliuag University,03004,3,1,Bulacan,Baliuag,Existing
Baliwag Maritime Foundation,03005,3,1,Bulacan,San Rafael,Existing
Bataan Peninsula State University-Dinalupihan,03006,3,2b,Bataan,Dinalupihan,Existing
Bataan Peninsula State University-Abucay,03006a,3,2b,Bataan,Abucay,Existing
Bataan Peninsula State University-Bagac,03006b,3,2b,Bataan,Bagac,Existing
Bataan Heroes Memorial College,03009,3,1,Bataan,Balanga City,Existing
Bulacan Agricultural State College,03010,3,2a,Bulacan,San Ildefonso,Existing
Bulacan State University,03012,3,2a,Bulacan,Malolos City,Existing
Bulacan State University-Bustos,03012a,3,2b,Bulacan,Bustos,Existing
Bulacan State University-San Jose Del Monte,03012b,3,2b,Bulacan,San Jose del Monte City,Existing
Bulacan State University-Meneses,03012c,3,2b,Bulacan,Bulacan,Existing
Bulacan State University-Hagonoy,03012d,3,2b,Bulacan,Hagonoy,Existing
Camiling Colleges,03013,3,1,Tarlac,Camiling,Existing
CIT Colleges of Paniqui Foundation,03014,3,1,Tarlac,Paniqui,Existing
Central Luzon Doctors' Hospital Educational Institution,03015,3,1,Tarlac,Tarlac City,Existing
Central Luzon College of Science and Technology-Olongapo City,03016,3,1,Zambales,Olongapo City,Existing
Nueva Ecija University of Science and Technology,03017,3,2a,Nueva Ecija,Cabanatuan City,Existing
Central Luzon State University,03018,3,2a,Nueva Ecija,Science City of Muñoz,Existing
Centro Escolar University-Malolos City,03019,3,1,Bulacan,Malolos City,Existing
Colegio De San Pascual Baylon,03020,3,1,Bulacan,Obando,Existing
College of the Immaculate Conception,03022,3,1,Nueva Ecija,Cabanatuan City,Existing
CORE Gateway College,03023,3,1,Nueva Ecija,San Jose City,Existing
Columban College-Olongapo City,03024,3,1,Zambales,Olongapo City,Existing
College for Research and Technology-Cabanatuan City,03025,3,1,Nueva Ecija,Cabanatuan City,Existing
"World Citi Colleges, Guimba Campus",03027,3,1,Nueva Ecija,Guimba,Existing
Divina Pastora College,03028,3,1,Nueva Ecija,Gapan City,Existing
Dominican College of Tarlac,03029,3,1,Tarlac,Capas,Existing
Pampanga State University,03030,3,2a,Pampanga,Bacolor,Existing
Pampanga State University-Mexico,03030a,3,2b,Pampanga,Mexico,Existing
Pampanga State University-Porac,03030b,3,2b,Pampanga,Porac,Existing
Pampanga State University-Sto.Thomas,03030c,3,2b,Pampanga,Sto. Tomas,Existing
Dr. Gloria D. Lacson Foundation Colleges - Nueva Ecija,03031,3,1,Nueva Ecija,San Leonardo,Existing
Dr. Yanga's Colleges,03033,3,1,Bulacan,Bocaue,Existing
General De Jesus College,03037,3,1,Nueva Ecija,San Isidro,Existing
The Good Samaritan Colleges,03039,3,1,Nueva Ecija,Cabanatuan City,Existing
Guagua National Colleges,03040,3,1,Pampanga,Guagua,Existing
Holy Angel University,03042,3,1,Pampanga,Angeles City,Existing
Holy Cross College-Nueva Ecija,03043,3,1,Nueva Ecija,Sta. Rosa,Existing
Holy Cross College-Pampanga,03044,3,1,Pampanga,Sta. Ana,Existing
Immaculate Conception Major Seminary,03045,3,1,Bulacan,Guiguinto,Existing
Interworld College of Technology Foundation-Tarlac,03046,3,1,Tarlac,Tarlac City,Existing
Jesus Is Lord Colleges Foundation,03047,3,1,Bulacan,Bocaue,Existing
Jose C. Feliciano College Foundation,03048,3,1,Pampanga,Mabalacat City,Existing
Lourdes College of Bulacan,03049,3,1,Bulacan,Angat,Existing
Magsaysay Memorial College of Zambales,03051,3,1,Zambales,San Narciso,Existing
Manuel V. Gallego Foundation Colleges,03052,3,1,Nueva Ecija,Cabanatuan City,Existing
Maria Assumpta Seminary,03053,3,1,Nueva Ecija,Cabanatuan City,Existing
Meycauayan College,03057,3,1,Bulacan,Meycauayan City,Existing
Microcity College of Business and Technology,03059,3,1,Bataan,Balanga City,Existing
"MIDWAY COLLEGES, Inc.",03060,3,1,Nueva Ecija,Cabanatuan City,Existing
Mondriaan Aura College,03061,3,1,Zambales,Olongapo City,Existing
